分区,小区名称,所在区域,房屋户型,建筑面积,套内面积,房屋朝向,装修情况,供暖方式,楼层高度,所在楼层,户型结构,建筑类型,建筑结构,梯户比例,配备电梯,挂牌时间,上次交易,房屋年限,抵押信息,交易权属,房屋用途,产权所属,房本备件,标题,总价,单价,地区,几室几厅,房屋面积,楼层,建立时间,户型,关注人数,发布日期,VR看装修,房本满五年,近地铁,房本满两年,随时看房,详情页
朝阳,中海安德鲁斯庄园西区,朝阳 百子湾 四至五环,5室3厅1厨4卫,289.63㎡,,南 北,简装,自供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",地下室 (共3层),复式,板楼,钢混结构,,无,2025-02-19,2013-02-06,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,联排别墅 上三下一 私家车库 管家式服务,1340万,"46,266元/平",中海安德鲁斯庄园西区 -百子湾,5室3厅,289.63平米,"('3层',)",2006年,板楼,30人关注,2个月以前发布,VR房源,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101128942754.html
昌平,天通苑中苑,昌平 天通苑 五至六环,2室1厅1厨2卫,103.29㎡,93.03㎡,南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共7层),平层,板楼,混合结构,,无,2024-09-26,2009-02-04,满五年,无抵押,一类经济适用房,普通住宅,非共有,已上传房本照片,天通中苑板楼两居室 南北通透 好户型,378万,"36,596元/平",天通苑中苑 -天通苑,2室1厅,103.29平米,"('中楼层(共7层)',)",,板楼,53人关注,6个月以前发布,VR看装修,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101126784059.html
朝阳,柏林郡,朝阳 小红门 四至五环,3室2厅1厨2卫,105.79㎡,,南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共27层),平层,板楼,钢混结构,两梯四户,有,2024-08-22,2024-08-08,未满两年,有抵押,商品房,普通住宅,非共有,已上传房本照片,柏林郡 南北通透精装三居室 次新房,498万,"47,075元/平",柏林郡 -小红门,3室2厅,105.79平米,"('27层',)",,板楼,97人关注,8个月以前发布,VR看装修,,,,随时看房,https://bj.lianjia.com/ershoufang/101125919594.html
东城,新中西街,东城 朝阳门外 二至三环,2室1厅1厨1卫,58.54㎡,,南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",顶层 (共7层),平层,板楼,混合结构,,无,2025-02-27,2017-02-20,满五年,无抵押,商品房,普通住宅,共有,已上传房本照片,新中西街 2室1厅 南 北,451万,"77,042元/平",新中西街 -朝阳门外,2室1厅,58.54平米,"('顶层(共7层)',)",,板楼,16人关注,1个月以前发布,VR房源,房本满五年,近地铁,,,https://bj.lianjia.com/ershoufang/101129121425.html
昌平,京投发展公园悦府二区,昌平 回龙观 五至六环,2室2厅1厨1卫,86.29㎡,,东南,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共27层),平层,板楼,钢混结构,两梯四户,有,2024-11-30,2020-04-01,满五年,有抵押 183万元 北京银行 客户偿还,商品房,普通住宅,非共有,已上传房本照片,2020年次新房优质户型 得房率80%高层视野特棒,576万,"66,752元/平",京投发展公园悦府二区 -回龙观,2室2厅,86.29平米,"('27层',)",2019年,板楼,37人关注,4个月以前发布,VR看装修,房本满五年,近地铁,,,https://bj.lianjia.com/ershoufang/101127807385.html
朝阳,双龙南里,朝阳 华威桥 三至四环,1室1厅1厨1卫,48.98㎡,,东 西,毛坯,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",底层 (共6层),平层,板楼,混合结构,,无,2024-12-04,2016-10-24,满五年,无抵押,已购公房,普通住宅,非共有,已上传房本照片,双龙南里+板楼一层+东西通透+户型方正+随时签约,188万,"38,384元/平",双龙南里 -华威桥,1室1厅,48.98平米,"('底层(共6层)',)",,板楼,24人关注,4个月以前发布,VR房源,房本满五年,近地铁,,随时看房,https://bj.lianjia.com/ershoufang/101127886417.html
北京经济技术开发区,东晶国际,北京经济技术开发区 亦庄 五至六环,2室1厅1厨2卫,123㎡,,西,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共17层),复式,板塔结合,钢混结构,一梯三户,有,2024-11-10,2019-07-10,满五年,有抵押 360万元 农行 金融公司垫资,商品房,普通住宅,非共有,已上传房本照片,东晶国际，两居室，上下两层，70年住宅，看房方便,439万,"35,692元/平",东晶国际 -亦庄,2室1厅,123平米,"('17层',)",,板塔结合,31人关注,5个月以前发布,VR房源,房本满五年,近地铁,,随时看房,https://bj.lianjia.com/ershoufang/101127525890.html
东城,青年湖北街,东城 安定门 二至三环,3室1厅1厨1卫,81.61㎡,,东 南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共18层),,塔楼,混合结构,两梯八户,有,2025-03-30,2023-05-10,未满两年,无抵押,商品房,普通住宅,非共有,已上传房本照片,安定门 和平里公园边上3居室带正规客厅 户型管理好,960万,"117,633元/平",青年湖北街 -安定门,3室1厅,81.61平米,"('高楼层(共18层)',)",,塔楼,9人关注,28天以前发布,VR看装修,,近地铁,,随时看房,https://bj.lianjia.com/ershoufang/101129777841.html
朝阳,团结湖北二条,朝阳 团结湖 三至四环,3室1厅1厨1卫,64.05㎡,,西北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共12层),平层,塔楼,钢混结构,一梯八户,有,2025-02-07,2023-06-09,未满两年,无抵押,已购公房,普通住宅,非共有,已上传房本照片,东三环团结湖 小3居 电梯房 满五年 钢混 临地铁,358万,"55,894元/平",团结湖北二条 -团结湖,3室1厅,64.05平米,"('中楼层(共12层)',)",1982年,塔楼,52人关注,2个月以前发布,VR房源,,,,,https://bj.lianjia.com/ershoufang/101128685129.html
丰台,大成时代中心,丰台 岳各庄 四至五环,1室1厅1厨1卫,80.17㎡,59.13㎡,西,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共27层),平层,塔楼,钢混结构,四梯十八户,有,2025-03-09,2020-02-24,满五年,无抵押,商品房,酒店式公寓,非共有,已上传房本照片,西四环 2010年商品房 带电梯 满五唯一 单价低,290万,"36,174元/平",大成时代中心 -岳各庄,1室1厅,80.17平米,"('高楼层(共27层)',)",,塔楼,4人关注,1个月以前发布,VR房源,房本满五年,,,,https://bj.lianjia.com/ershoufang/101129190730.html
大兴,理想家园,大兴 西红门 四至五环,2室1厅1厨1卫,73.76㎡,59.05㎡,东南,精装,自供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共25层),平层,塔楼,钢混结构,三梯十二户,有,2025-03-20,2014-06-18,满五年,无抵押,一类经济适用房,普通住宅,非共有,已上传房本照片,宏业路2号院，理想家园电梯房两居室,245万,"33,216元/平",理想家园 -西红门,2室1厅,73.76平米,"('25层',)",2013年,塔楼,3人关注,1个月以前发布,VR看装修,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101129568282.html
通州,华业东方玫瑰A区,通州 临河里 五至六环,1室1厅1厨1卫,68.03㎡,,东,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共23层),平层,板塔结合,钢混结构,两梯五户,有,2025-03-16,2016-05-03,满五年,无抵押,商品房,普通住宅,共有,已上传房本照片,华业东方玫瑰A区  东向一居  中间楼层   诚售,258万,"37,925元/平",华业东方玫瑰A区 -临河里,1室1厅,68.03平米,"('中楼层(共23层)',)",,板塔结合,5人关注,1个月以前发布,VR看装修,房本满五年,近地铁,,随时看房,https://bj.lianjia.com/ershoufang/101129327832.html
房山,嘉瑞通小区,房山 良乡 五至六环,2室1厅1厨1卫,92.55㎡,,西南,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共15层),平层,塔楼,钢混结构,两梯十户,有,2024-02-23,2022-10-26,满两年,无抵押,商品房,普通住宅,非共有,已上传房本照片,房山区良乡嘉瑞通小区房山线旁两居,178万,"19,233元/平",嘉瑞通小区 -良乡,2室1厅,92.55平米,"('中楼层(共15层)',)",2006年,塔楼,20人关注,一年前发布,VR看装修,,近地铁,房本满两年,随时看房,https://bj.lianjia.com/ershoufang/101122997962.html
朝阳,东恒时代一期,朝阳 四惠 四至五环,2室1厅1厨1卫,98.01㎡,79.6㎡,西北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共32层),平层,塔楼,钢混结构,三梯十一户,有,2025-02-17,2005-10-18,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,东恒时代一期。高楼层两居室，视野好,628万,"64,076元/平",东恒时代一期 -四惠,2室1厅,98.01平米,"('中楼层(共32层)',)",,塔楼,14人关注,2个月以前发布,VR房源,房本满五年,近地铁,,随时看房,https://bj.lianjia.com/ershoufang/101127784057.html
东城,东环居苑,东城 广渠门 二至三环,2室2厅1厨1卫,101.79㎡,82.5㎡,西南,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共18层),平层,塔楼,钢混结构,两梯九户,有,2025-03-07,2012-10-23,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,东环居苑 2室2厅 西南,790万,"77,611元/平",东环居苑 -广渠门,2室2厅,101.79平米,"('高楼层(共18层)',)",2004年,塔楼,12人关注,1个月以前发布,VR看装修,房本满五年,,,,https://bj.lianjia.com/ershoufang/101129032362.html
西城,新安北里,西城 白纸坊 二环内,3室1厅1厨1卫,59.18㎡,,南 西 北,毛坯,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共6层),平层,板楼,混合结构,,无,2025-04-03,2000-09-20,满五年,无抵押,央产房,普通住宅,非共有,已上传房本照片,此房满五年，印钞厂宿舍，小区管理好，正规三居无遮,540万,"91,248元/平",新安北里 -白纸坊,3室1厅,59.18平米,"('高楼层(共6层)',)",,板楼,9人关注,24天以前发布,VR看装修,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101129796911.html
大兴,金地仰山东区,大兴 高米店 五至六环,3室2厅1厨2卫,136.46㎡,117.35㎡,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",底层 (共9层),复式,板楼,钢混结构,一梯两户,有,2024-09-21,2014-07-03,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,金地仰山东区 一层3居洋房 带南北院 带地下室,778万,"57,014元/平",金地仰山东区 -高米店,3室2厅,136.46平米,"('底层(共9层)',)",2013年,板楼,30人关注,7个月以前发布,VR房源,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101126655870.html
房山,高家坡社区,房山 燕山 六环外,2室1厅1厨1卫,59.38㎡,,南 北,其他,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",低楼层 (共6层),平层,板楼,混合结构,,,2024-07-07,2003-12-03,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,高家坡社区 低楼层 南北通透,55万,"9,263元/平",高家坡社区 -燕山,2室1厅,59.38平米,"('低楼层(共6层)',)",,板楼,22人关注,9个月以前发布,VR看装修,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101125257942.html
通州,时尚街区西区,通州 梨园 五至六环,2室1厅1厨1卫,78.23㎡,63.19㎡,西南,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共20层),平层,板楼,钢混结构,两梯十二户,有,2025-04-12,2019-12-19,满五年,有抵押,商品房,普通住宅,非共有,已上传房本照片,大区推荐  急急急满五唯一近地铁随时看,225万,"28,762元/平",时尚街区西区 -梨园,2室1厅,78.23平米,"('中楼层(共20层)',)",2003年,板楼,8人关注,15天以前发布,VR看装修,房本满五年,近地铁,,随时看房,https://bj.lianjia.com/ershoufang/101130017846.html
房山,恒大滨河左岸北区,房山 良乡,2室1厅1厨1卫,84.02㎡,,南,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共15层),平层,板塔结合,钢混结构,两梯六户,有,2025-03-05,2019-09-24,满五年,有抵押,自住型商品房,普通住宅,非共有,已上传房本照片,恒大滨河左岸北区 精装修 只有契税 次新房 近地铁,179万,"21,305元/平",恒大滨河左岸北区 -良乡,2室1厅,84.02平米,"('中楼层(共15层)',)",2018年,板塔结合,6人关注,1个月以前发布,VR看装修,房本满五年,近地铁,,随时看房,https://bj.lianjia.com/ershoufang/101129196715.html
通州,北人家园,通州 万达 五至六环,2室1厅1厨1卫,81.98㎡,,南,毛坯,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",底层 (共27层),平层,塔楼,钢混结构,两梯五户,有,2025-01-19,2016-10-25,满五年,无抵押,二类经济适用房,普通住宅,共有,已上传房本照片,北人家园 2018年社区 满五年 业主诚心出售,265万,"32,325元/平",北人家园 -万达,2室1厅,81.98平米,"('底层(共27层)',)",2018年,塔楼,27人关注,3个月以前发布,VR房源,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101128170543.html
西城,德胜门外大街1号院,西城 马甸 二至三环,3室1厅1厨1卫,69.86㎡,,南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",高楼层 (共6层),平层,板楼,混合结构,,无,2025-03-04,2011-11-16,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,马甸桥南北通透三居室 中间楼层 可停车 诚心出售,930万,"133,124元/平",德胜门外大街1号院 -马甸,3室1厅,69.86平米,"('高楼层(共6层)',)",,板楼,10人关注,1个月以前发布,VR看装修,房本满五年,近地铁,,随时看房,https://bj.lianjia.com/ershoufang/101129218810.html
北京经济技术开发区,郁金香舍,北京经济技术开发区 亦庄 五至六环,3室2厅1厨2卫,149.48㎡,,南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",低楼层 (共9层),错层,板楼,钢混结构,一梯两户,有,2024-11-19,2008-12-29,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,有车位，带电梯，边户，三居，明厨明卫，视野开阔,730万,"48,836元/平",郁金香舍 -亦庄,3室2厅,149.48平米,"('9层',)",,板楼,34人关注,5个月以前发布,VR房源,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101127229498.html
西城,教子胡同,西城 牛街 二环内,2室1厅1厨1卫,57.89㎡,,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",顶层 (共5层),平层,板楼,混合结构,,无,2025-03-12,2007-01-12,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,教子胡同，南北通透两居室，采光好,430万,"74,279元/平",教子胡同 -牛街,2室1厅,57.89平米,"('顶层(共5层)',)",,板楼,7人关注,1个月以前发布,VR房源,房本满五年,近地铁,,,https://bj.lianjia.com/ershoufang/101129415123.html
朝阳,御翠尚府,朝阳 朝青 四至五环,3室2厅1厨2卫,139.66㎡,120.28㎡,南 北,精装,自供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共9层),平层,板楼,钢混结构,一梯三户,有,2025-02-24,2024-02-02,未满两年,无抵押,商品房,普通住宅,非共有,已上传房本照片,龙发装饰58万装修 不临街观水系 位置安静采光好,1180万,"84,491元/平",御翠尚府 -朝青,3室2厅,139.66平米,"('9层',)",2013年,板楼,15人关注,2个月以前发布,VR房源,,,,随时看房,https://bj.lianjia.com/ershoufang/101128763613.html
朝阳,金茂公寓,朝阳 CBD 二至三环,3室2厅1厨2卫,166.93㎡,,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",低楼层 (共7层),平层,板楼,钢混结构,一梯两户,有,2025-04-03,2011-10-14,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,金茂公寓 东三环内电梯小高层，纯板楼,998万,"59,786元/平",金茂公寓 -CBD,3室2厅,166.93平米,"('低楼层(共7层)',)",,板楼,17人关注,24天以前发布,VR房源,房本满五年,近地铁,,随时看房,https://bj.lianjia.com/ershoufang/101129831024.html
顺义,清岚花园汉民区,顺义 后沙峪 五至六环,2室1厅1厨1卫,73.22㎡,64.44㎡,南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",顶层 (共6层),平层,板楼,混合结构,,,2025-04-12,2016-08-16,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,清岚花园汉民区满五唯一好价格，看房方便,178万,"24,311元/平",清岚花园汉民区 -后沙峪,2室1厅,73.22平米,"('顶层(共6层)',)",2012年,板楼,7人关注,15天以前发布,VR看装修,房本满五年,,,,https://bj.lianjia.com/ershoufang/101130030807.html
丰台,亚林西居住区9号院,丰台 右安门外 二至三环,2室1厅1厨1卫,57.6㎡,,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共26层),平层,板楼,钢混结构,两梯五户,有,2024-08-13,2021-12-02,满两年,无抵押,二类经济适用房,普通住宅,非共有,已上传房本照片,朝南无遮挡，视野好。2018年新小区，高楼层，,328万,"56,945元/平",亚林西居住区9号院 -右安门外,2室1厅,57.6平米,"('中楼层(共26层)',)",2018年,板楼,109人关注,8个月以前发布,VR看装修,,近地铁,房本满两年,,https://bj.lianjia.com/ershoufang/101126002469.html
东城,永康胡同1号院,东城 安定门 二环内,1室1厅1厨1卫,46.48㎡,,西 东,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共7层),平层,板楼,混合结构,,无,2025-03-06,2023-08-23,未满两年,有抵押,商品房,普通住宅,非共有,已上传房本照片,安交，方家，中间楼层，精装修可拎包入住,596.5万,"128,335元/平",永康胡同1号院 -安定门,1室1厅,46.48平米,"('中楼层(共7层)',)",2002年,板楼,5人关注,1个月以前发布,VR看装修,,近地铁,,随时看房,https://bj.lianjia.com/ershoufang/101129175424.html
房山,铭品嘉苑,房山 长阳 五至六环,1室1厅1厨1卫,70.8㎡,,南,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共15层),平层,板塔结合,钢混结构,两梯十二户,有,2025-03-13,2018-11-26,满五年,无抵押,限价商品房,普通住宅,非共有,已上传房本照片,铭品嘉苑，精装修，南向一居室，看房方便有钥匙,140万,"19,775元/平",铭品嘉苑 -长阳,1室1厅,70.8平米,"('中楼层(共15层)',)",2016年,板塔结合,6人关注,1个月以前发布,VR房源,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101129439664.html
东城,管村26号院,东城 永定门 二至三环,2室1厅1厨1卫,69.03㎡,,南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",中楼层 (共6层),平层,板楼,混合结构,,无,2024-12-28,2024-10-09,未满两年,无抵押,已购公房,普通住宅,非共有,已上传房本照片,东城区中间楼层南北通透没有遮挡,438万,"63,451元/平",管村26号院 -永定门,2室1厅,69.03平米,"('中楼层(共6层)',)",,板楼,49人关注,3个月以前发布,VR看装修,,近地铁,,,https://bj.lianjia.com/ershoufang/101128258895.html
西城,六铺炕三区,西城 六铺炕 二至三环,1室1厅1厨1卫,43.7㎡,,南 北,精装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",顶层 (共6层),平层,板楼,砖混结构,,无,2024-10-13,2016-08-18,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,煤炭社区一居 有钥匙看房方便 业主诚心出售 南向,665万,"152,174元/平",六铺炕三区 -六铺炕,1室1厅,43.7平米,"('顶层(共6层)',)",,板楼,11人关注,6个月以前发布,VR看装修,房本满五年,,,随时看房,https://bj.lianjia.com/ershoufang/101127036225.html
房山,蓝光海悦城,房山 良乡 五至六环,2室1厅1厨1卫,69.23㎡,,南,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",低楼层 (共10层),平层,板塔结合,钢混结构,一梯四户,有,2024-12-27,2018-11-16,满五年,无抵押,商品房,普通住宅,非共有,已上传房本照片,"海悦城,满五唯一南向两居室，精装户型方正",199万,"28,745元/平",蓝光海悦城 -良乡,2室1厅,69.23平米,"('低楼层(共10层)',)",,板塔结合,6人关注,3个月以前发布,VR房源,房本满五年,近地铁,,随时看房,https://bj.lianjia.com/ershoufang/101128192997.html
朝阳,安翔里小区,朝阳 健翔桥 四至五环,2室1厅1厨1卫,74.55㎡,,南 北,简装,集中供暖,"暂无数据
                                                        




实际层高需现场测量，具体数据以实际测量为准",低楼层 (共6层),平层,板楼,混合结构,,无,2025-03-03,1999-10-18,满五年,无抵押,央产房,普通住宅,非共有,已上传房本照片,【安翔里社区一口价】满五年唯一，低楼层，大客厅,440万,"59,021元/平",安翔里小区 -健翔桥,2室1厅,74.55平米,"('低楼层(共6层)',)",,板楼,13人关注,1个月以前发布,VR看装修,房本满五年,,,,https://bj.lianjia.com/ershoufang/101129142368.html
